"","Relevé","TITLE","LITERATURE","YEAR","TAX_SCOPE","SAMPLING_METHOD","QUANT_METHOD","FAMILY","GENERA","EPITHET","SPECIES","IDENTIFICATION_CONFIDENCE","EPILIST","EPIPHYTE_FLORA","HEMIEPIPHYTE_FLORA","RUPICOLOUS_FLORA","TERRESTRIAL_FLORA","UNKNOWN_FLORA","NATURALNESS","INCLUSION.REQUIREMENTS","NUMBER_INDIVIDUALS","FREQUENCY","BIOMASS","SCORE","LONGITUDE","LATITUDE","PRECISION","PHOROPHYTE_FAMILY","PHOROPHYTE_GENUS","PHOROPHYTE_EPITHET","DBH","HEIGHT","OBS.","BIOME","COUNTRY","WWF_ECOREGION","PHYLUM"
"1",1,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Aechmea","aquilega","Aechmea aquilega","","Epiphyte",1,0,1,1,0,"Anthropic","CBH > 15 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 231 Guapira opposita (Nyctaginaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"2",2,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Amaranthaceae","Alternanthera",NA,"Alternanthera sp.","morpho",NA,0,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 231 Guapira opposita (Nyctaginaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"3",3,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Cactaceae","Arrojadoa",NA,"Arrojadoa sp.","morpho",NA,0,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"4",4,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Billbergia","porteana","Billbergia porteana","","Epiphyte",1,0,1,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"5",5,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Orchidaceae","Catasetum","luridum","Catasetum luridum","","Epiphyte",1,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"6",6,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Orchidaceae","Cyrtopodium","saintlegerianum","Cyrtopodium saintlegerianum","","Missing",1,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"7",7,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","cf.","Epiphyte",1,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"8",8,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Moraceae","Ficus","enormis","Ficus enormis","","Hemiepiphyte",0,1,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
"9",9,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Polypodiaceae","Microgramma","vacciniifolia","Microgramma vacciniifolia","","Epiphyte",1,0,0,0,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Pteridophyte"
"10",10,"Comunidade epifítica de Syagrus coronata (Mart.) Becc. (Arecaceae) em áreas de pastanges na Caatinga, Bahia","Paper",2015,"All","Others","Presence","Bromeliaceae","Orthophytum","maracasense","Orthophytum maracasense","","Missing",1,0,1,1,0,"Anthropic","DBH > 25 cm",NA,NA,NA,"",-40.137222,-11.606667,"Area","Arecaceae","Syagrus","coronata",NA,NA,"Epiphyte presence in 70 Syagrus coronata  (Arecaceae)","Caatinga","Brazil","Caatinga","Angiospermae"
