,SPECIES,EPILIST,Epiphyte (FLORA),Hemiepiphyte (FLORA),Rupicolous (FLORA),Terrestrial (FLORA),Unknown (FLORA),Missing (FLORA),REMARKS
1,Acianthera ochreata,Missing,0,0,1,0,0,0,NA
2,Anthurium zappiae,Missing,0,0,0,1,0,0,NA
3,Elaphoglossum scalpellum,Missing,0,0,1,1,0,0,NA
4,Ficus ernanii,Missing,0,0,0,1,0,0,NA
5,Hymenasplenium laetum,Missing,0,0,1,1,0,0,NA
6,Lindsaea falcata,Missing,0,0,1,1,0,0,NA
7,Norantea goyazensis,Missing,0,0,0,1,0,0,NA
8,Peperomia subrubrispica,Missing,0,0,1,0,0,0,NA
9,Serpocaulon rex,Missing,0,0,0,1,0,0,NA
10,Tillandsia bonita,Missing,0,0,1,0,0,0,NA
11,Tillandsia paraibensis,Missing,0,0,1,0,0,0,NA
12,Trichomanes cristatum,Missing,0,0,0,1,0,0,NA
13,Ananas ananassoides,Missing,0,0,0,1,0,0,Accidental
14,Aosa gilgiana,Missing,0,0,1,1,0,0,Accidental
15,Arrojadoa penicillata,Missing,0,0,1,1,0,0,Accidental
16,Aspilia latissima,Missing,0,0,0,1,0,0,Accidental
17,Banisteriopsis stellaris,Missing,0,0,0,1,0,0,Accidental
18,Bidens gardneri,Missing,0,0,0,1,0,0,Accidental
19,Bromelia balansae,Missing,0,0,0,1,0,0,Accidental
20,Caesalpinia microphylla,Missing,0,0,0,1,0,0,Accidental
21,Centrosema pubescens,Missing,0,0,0,1,0,0,Accidental
22,Cereus forbesii,Missing,0,0,0,0,1,0,Accidental
23,Cereus jamacaru,Missing,0,0,1,1,0,0,Accidental
24,Chamaecrista rotundifolia,Missing,0,0,0,1,0,0,Accidental
25,Cheilanthes bradei,Missing,0,0,1,0,0,0,Accidental
26,Cipocereus gracilisepala,Missing,0,0,0,0,1,0,Accidental
27,Cleistocactus baumanii,Missing,0,0,1,1,0,0,Accidental
28,Cnidoscolus albomaculatus,Missing,0,0,0,1,0,0,Accidental
29,Cnidoscolus urens,Missing,0,0,0,1,0,0,Accidental
30,Coccocypselum lanceolatum,Missing,0,0,0,1,0,0,Accidental
31,Commelina erecta,Missing,0,0,1,1,0,0,Accidental
32,Cranichis glabricaulis,Missing,0,0,0,1,0,0,Accidental
33,Crotalaria martiana,Missing,0,0,0,1,0,0,Accidental
34,Crotalaria micans,Missing,0,0,0,1,0,0,Accidental
35,Croton heliotropiifolius,Missing,0,0,0,1,0,0,Accidental
36,Croton lundianus,Missing,0,0,0,1,0,0,Accidental
37,Cryptanthus bahianus,Missing,0,0,0,1,0,0,Accidental
38,Cuphea carthagenensis,Missing,0,0,0,1,0,0,Accidental
39,Cyclopogon elatus,Missing,0,0,0,1,0,0,Accidental
40,Desmodium incanum,Missing,0,0,0,1,0,0,Accidental
41,Desmoscelis villosa,Missing,0,0,0,1,0,0,Accidental
42,Dichorisandra saxatilis,Missing,0,0,0,1,0,0,Accidental
43,Doliocarpus dentatus,Missing,0,0,0,1,0,0,Accidental
44,Dyckia milagrensis,Missing,0,0,1,0,0,0,Accidental
45,Dyckia tuberosa,Missing,0,0,1,1,0,0,Accidental
46,Encholirium spectabile,Missing,0,0,1,0,0,0,Accidental
47,Encyclia jenischiana,Missing,0,0,1,0,0,0,Accidental
48,Evolvulus pterocaulon,Missing,0,0,0,1,0,0,Accidental
49,Gomphrena vaga,Missing,0,0,0,1,0,0,Accidental
50,Gomphrena virgata,Missing,0,0,0,1,0,0,Accidental
51,Gymnopogon foliosus,Missing,0,0,0,1,0,0,Accidental
52,Harrisia balansae,Missing,0,0,0,1,0,0,Accidental
53,Harrisia martinii,Missing,0,0,0,0,1,0,Accidental
54,Harrisia tortuosa,Missing,0,0,0,1,0,0,Accidental
55,Hemionitis tomentosa,Missing,0,0,0,1,0,0,Accidental
56,Hypenia macrantha,Missing,0,0,0,1,0,0,Accidental
57,Medusantha crinita,Missing,0,0,0,0,1,0,Accidental
58,Hyptis villosa,Missing,0,0,0,1,0,0,Accidental
59,Lindsaea guianensis,Missing,0,0,0,1,0,0,Accidental
60,Lippia lupulina,Missing,0,0,0,1,0,0,Accidental
61,Macroptilium lathyroides,Missing,0,0,0,1,0,0,Accidental
62,Melinis minutiflora,Missing,0,0,0,1,0,0,Accidental
63,Melocactus ernestii,Missing,0,0,1,0,0,0,Accidental
64,Merostachys skvortzovii,Missing,0,0,0,1,0,0,Accidental
65,Mimosa dolens,Missing,0,0,0,1,0,0,Accidental
66,Mimosa ophthalmocentra,Missing,0,0,0,1,0,0,Accidental
67,Neoglaziovia variegata,Missing,0,0,0,1,0,0,Accidental
68,Odontadenia lutea,Missing,0,0,0,1,0,0,Accidental
69,Orthophytum rubrum,Missing,0,0,1,0,0,0,Accidental
70,Orthophytum saxicola,Missing,0,0,1,0,0,0,Accidental
71,Pappophorum pappiferum,Missing,0,0,0,1,0,0,Accidental
72,Peltodon tomentosus,Missing,0,0,0,1,0,0,Accidental
73,Phlegmariurus christii,Missing,0,0,0,1,0,0,Accidental
74,Pilosocereus chrysostele,Missing,0,0,1,0,0,0,Accidental
75,Pilosocereus gounellei,Missing,0,0,1,1,0,0,Accidental
76,Pilosocereus pachycladus,Missing,0,0,1,1,0,0,Accidental
77,Pilosocereus pentaedrophorus,Missing,0,0,1,1,0,0,Accidental
78,Pilosocereus tuberculatus,Missing,0,0,0,1,0,0,Accidental
79,Piriqueta rosea,Missing,0,0,0,1,0,0,Accidental
80,Portulaca hirsutissima,Missing,0,0,1,1,0,0,Accidental
81,Prescottia oligantha,Missing,0,0,1,1,0,0,Accidental
82,Pterocaulon alopecuroides,Missing,0,0,0,1,0,0,Accidental
83,Pterocaulon lanatum,Missing,0,0,0,1,0,0,Accidental
84,Ruprechtia laxiflora,Missing,0,0,0,1,0,0,Accidental
85,Sacoila lanceolata,Missing,0,0,0,1,0,0,Accidental
86,Selenicereus coccineus,Missing,0,0,0,0,1,0,Accidental
87,Senecio brasiliensis,Missing,0,0,0,1,0,0,Accidental
88,Senecio leptolobus,Missing,0,0,0,1,0,0,Accidental
89,Senna occidentali,Missing,0,0,0,1,0,0,Accidental
90,Sinningia schiffneri,Missing,0,0,1,1,0,0,Accidental
91,Solanum americanum,Missing,0,0,0,1,0,0,Accidental
92,Spathiphyllum humboldtii,Missing,0,0,0,1,0,0,Accidental
93,Strychnos brasiliensis,Missing,0,0,0,1,0,0,Accidental
94,Stylosanthes capitata,Missing,0,0,0,1,0,0,Accidental
95,Syagrus coronata,Missing,0,0,0,1,0,0,Accidental
96,Syngonium podophyllum,Missing,0,1,0,0,0,0,Accidental
97,Tacinga inamoena,Missing,0,0,1,1,0,0,Accidental
98,Tacinga palmadora,Missing,0,0,1,1,0,0,Accidental
99,Temnadenia violacea,Missing,0,0,0,1,0,0,Accidental
100,Tradescantia zanonia,Missing,0,0,0,1,0,0,Accidental
101,Trichilia claussenii,Missing,0,0,0,1,0,0,Accidental
102,Tridax procumbens,Missing,0,0,0,1,0,0,Accidental
103,Vriesea saxicola,Missing,0,0,1,0,0,0,Accidental
104,Zornia crinita,Missing,0,0,0,1,0,0,Accidental
105,Asplundia brachypus,Missing,0,1,1,1,0,0,NA
106,Asplundia gardneri,Missing,0,1,1,1,0,0,NA
107,Campyloneurum lapathifolium,Missing,0,1,0,0,0,0,NA
108,Clusia dardanoi,Missing,0,1,0,1,0,0,NA
109,Clusia lutea,Missing,0,1,0,0,0,0,NA
110,Clusia nigrolineata,Missing,0,1,0,1,0,0,NA
111,Clusia paralicola,Missing,0,1,0,1,0,0,NA
112,Clusia polysepala,Missing,0,1,0,1,0,0,NA
113,Clusia weddelliana,Missing,0,1,0,1,0,0,NA
114,Dyssochroma longipes,Missing,0,1,0,0,0,0,NA
115,Ficus clusiifolia,Missing,0,1,0,1,0,0,NA
116,Ficus cyclophylla,Missing,0,1,0,1,0,0,NA
117,Ficus elastica,Missing,0,1,0,1,0,0,NA
118,Ficus malacocarpa,Missing,0,1,0,0,0,0,NA
119,Ficus piresiana,Missing,0,1,0,1,0,0,NA
120,Heptapleurum actinophyllum,Missing,0,1,0,1,0,0,NA
121,Philodendron acutatum,Missing,0,1,1,1,0,0,NA
122,Philodendron angustisectum,Missing,0,1,0,0,0,0,NA
123,Philodendron brandtianum,Missing,0,1,0,0,0,0,NA
124,Philodendron brevispathum,Missing,0,1,0,0,0,0,NA
125,Philodendron camposportoanum,Missing,0,1,0,0,0,0,NA
126,Philodendron cordatum,Missing,0,1,1,0,0,0,NA
127,Philodendron distantilobum,Missing,0,1,0,0,0,0,NA
128,Philodendron flumineum,Missing,0,1,0,0,0,0,NA
129,Philodendron guaraense,Missing,0,1,0,0,0,0,NA
130,Philodendron imbe,Missing,0,1,0,0,0,0,NA
131,Philodendron inaequilaterum,Missing,0,1,0,0,0,0,NA
132,Philodendron maximum,Missing,0,1,0,1,0,0,NA
133,Philodendron mayoi,Missing,0,1,0,1,0,0,NA
134,Philodendron minarum,Missing,0,1,1,0,0,0,NA
135,Philodendron missionum,Missing,0,1,0,0,0,0,NA
136,Philodendron muricatum,Missing,0,1,0,0,0,0,NA
137,Philodendron ornatum,Missing,0,1,0,0,0,0,NA
138,Philodendron pedatum,Missing,0,1,0,0,0,0,NA
139,Philodendron pinnatifidum,Missing,0,1,0,1,0,0,NA
140,Philodendron rudgeanum,Missing,0,1,0,0,0,0,NA
141,Philodendron sonderianum,Missing,0,1,0,0,0,0,NA
